Device: cuda
Calculated Mean: tensor([0.7715, 0.8988, 0.9856])
Epoch 1, Itrs 740/30000, Loss=0.040689
Epoch 1, Itrs 750/30000, Loss=0.031064
Epoch 1, Itrs 760/30000, Loss=0.031374
Epoch 1, Itrs 770/30000, Loss=0.031073
Epoch 1, Itrs 780/30000, Loss=0.032583
Epoch 1, Itrs 790/30000, Loss=0.031209
Epoch 1, Itrs 800/30000, Loss=0.032229
Epoch 1, Itrs 810/30000, Loss=0.034229
Epoch 1, Itrs 820/30000, Loss=0.031948
Epoch 1, Itrs 830/30000, Loss=0.037865
Epoch 1, Itrs 840/30000, Loss=0.038510
Epoch 1, Itrs 850/30000, Loss=0.035992
Epoch 1, Itrs 860/30000, Loss=0.035193
Epoch 1, Itrs 870/30000, Loss=0.033845
Epoch 1, Itrs 880/30000, Loss=0.033693
Epoch 1, Itrs 890/30000, Loss=0.035648
Epoch 1, Itrs 900/30000, Loss=0.035666
Epoch 1, Itrs 910/30000, Loss=0.034991
Epoch 2, Itrs 920/30000, Loss=0.034964
Epoch 2, Itrs 930/30000, Loss=0.032604
Epoch 2, Itrs 940/30000, Loss=0.032698
Epoch 2, Itrs 950/30000, Loss=0.033616
Epoch 2, Itrs 960/30000, Loss=0.033668
Epoch 2, Itrs 970/30000, Loss=0.031889
Epoch 2, Itrs 980/30000, Loss=0.033695
Epoch 2, Itrs 990/30000, Loss=0.030576
Epoch 2, Itrs 1000/30000, Loss=0.029041
Model saved as checkpoints/latest_deeplabv3plus_resnet50_map_os16.pth
validation...
