Device: cuda
Calculated Mean: tensor([0.7715, 0.8988, 0.9856])
Epoch 2, Itrs 810/30000, Loss=0.225378
Epoch 2, Itrs 820/30000, Loss=0.228510
Epoch 2, Itrs 830/30000, Loss=0.229574
Epoch 2, Itrs 840/30000, Loss=0.229576
Epoch 2, Itrs 850/30000, Loss=0.229834
Epoch 2, Itrs 860/30000, Loss=0.223938
Epoch 2, Itrs 870/30000, Loss=0.214149
Epoch 2, Itrs 880/30000, Loss=0.218796
Epoch 2, Itrs 890/30000, Loss=0.228343
Epoch 2, Itrs 900/30000, Loss=0.225247
Epoch 2, Itrs 910/30000, Loss=0.224708
Epoch 3, Itrs 920/30000, Loss=0.209758
Epoch 3, Itrs 930/30000, Loss=0.218219
Epoch 3, Itrs 940/30000, Loss=0.203157
Epoch 3, Itrs 950/30000, Loss=0.220452
Epoch 3, Itrs 960/30000, Loss=0.212713
Epoch 3, Itrs 970/30000, Loss=0.214966
Epoch 3, Itrs 980/30000, Loss=0.204403
Epoch 3, Itrs 990/30000, Loss=0.212083
Epoch 3, Itrs 1000/30000, Loss=0.216152
Model saved as checkpoints/latest_deeplabv3plus_resnet50_map_os16.pth
validation...

Overall Acc: 0.070357
Mean Acc: 0.217956
FreqW Acc: 0.066798
Mean IoU: 0.134275

Model saved as checkpoints/best_deeplabv3plus_resnet50_map_os16.pth
Epoch 3, Itrs 1010/30000, Loss=0.215067
Epoch 3, Itrs 1020/30000, Loss=0.210401
Epoch 3, Itrs 1030/30000, Loss=0.196565
Epoch 3, Itrs 1040/30000, Loss=0.218251
Epoch 3, Itrs 1050/30000, Loss=0.209715
Epoch 3, Itrs 1060/30000, Loss=0.213382
Epoch 3, Itrs 1070/30000, Loss=0.224300
Epoch 3, Itrs 1080/30000, Loss=0.220615
Epoch 3, Itrs 1090/30000, Loss=0.207502
Epoch 3, Itrs 1100/30000, Loss=0.215001
Epoch 3, Itrs 1110/30000, Loss=0.210511
Epoch 3, Itrs 1120/30000, Loss=0.217441
Epoch 3, Itrs 1130/30000, Loss=0.201266
Epoch 3, Itrs 1140/30000, Loss=0.192113
Epoch 3, Itrs 1150/30000, Loss=0.210344
Epoch 3, Itrs 1160/30000, Loss=0.209807
Epoch 3, Itrs 1170/30000, Loss=0.202613
Epoch 3, Itrs 1180/30000, Loss=0.206082
Epoch 3, Itrs 1190/30000, Loss=0.195559
Epoch 3, Itrs 1200/30000, Loss=0.206929
Epoch 3, Itrs 1210/30000, Loss=0.202380
Epoch 3, Itrs 1220/30000, Loss=0.192436
Epoch 3, Itrs 1230/30000, Loss=0.217096
Epoch 3, Itrs 1240/30000, Loss=0.208803
Epoch 3, Itrs 1250/30000, Loss=0.204415
Epoch 3, Itrs 1260/30000, Loss=0.209493
Epoch 3, Itrs 1270/30000, Loss=0.209762
Epoch 3, Itrs 1280/30000, Loss=0.193304
Epoch 3, Itrs 1290/30000, Loss=0.198277
Epoch 3, Itrs 1300/30000, Loss=0.212384
Epoch 3, Itrs 1310/30000, Loss=0.201464
Epoch 3, Itrs 1320/30000, Loss=0.195912
Epoch 3, Itrs 1330/30000, Loss=0.189128
Epoch 3, Itrs 1340/30000, Loss=0.199752
Epoch 3, Itrs 1350/30000, Loss=0.204687
Epoch 3, Itrs 1360/30000, Loss=0.190162
Epoch 3, Itrs 1370/30000, Loss=0.199325
Epoch 4, Itrs 1380/30000, Loss=0.195927
Epoch 4, Itrs 1390/30000, Loss=0.186294
Epoch 4, Itrs 1400/30000, Loss=0.192766
Epoch 4, Itrs 1410/30000, Loss=0.188949
Epoch 4, Itrs 1420/30000, Loss=0.194854
Epoch 4, Itrs 1430/30000, Loss=0.199138
Epoch 4, Itrs 1440/30000, Loss=0.188754
Epoch 4, Itrs 1450/30000, Loss=0.184513
Epoch 4, Itrs 1460/30000, Loss=0.186125
Epoch 4, Itrs 1470/30000, Loss=0.191135
Epoch 4, Itrs 1480/30000, Loss=0.188638
Epoch 4, Itrs 1490/30000, Loss=0.195549
Epoch 4, Itrs 1500/30000, Loss=0.188167
Epoch 4, Itrs 1510/30000, Loss=0.184446
Epoch 4, Itrs 1520/30000, Loss=0.190881
Epoch 4, Itrs 1530/30000, Loss=0.192592
Epoch 4, Itrs 1540/30000, Loss=0.194217
Epoch 4, Itrs 1550/30000, Loss=0.169433
Epoch 4, Itrs 1560/30000, Loss=0.185691
Epoch 4, Itrs 1570/30000, Loss=0.195635
Epoch 4, Itrs 1580/30000, Loss=0.182810
Epoch 4, Itrs 1590/30000, Loss=0.188392
Epoch 4, Itrs 1600/30000, Loss=0.181788
Epoch 4, Itrs 1610/30000, Loss=0.183965
Epoch 4, Itrs 1620/30000, Loss=0.186455
Epoch 4, Itrs 1630/30000, Loss=0.179355
Epoch 4, Itrs 1640/30000, Loss=0.192797
Epoch 4, Itrs 1650/30000, Loss=0.198458
Epoch 4, Itrs 1660/30000, Loss=0.196450
Epoch 4, Itrs 1670/30000, Loss=0.191651
Epoch 4, Itrs 1680/30000, Loss=0.176224
Epoch 4, Itrs 1690/30000, Loss=0.185465
Epoch 4, Itrs 1700/30000, Loss=0.191681
Epoch 4, Itrs 1710/30000, Loss=0.186362
Epoch 4, Itrs 1720/30000, Loss=0.186339
Epoch 4, Itrs 1730/30000, Loss=0.188693
Epoch 4, Itrs 1740/30000, Loss=0.171578
Epoch 4, Itrs 1750/30000, Loss=0.196842
Epoch 4, Itrs 1760/30000, Loss=0.180528
Epoch 4, Itrs 1770/30000, Loss=0.182136
Epoch 4, Itrs 1780/30000, Loss=0.157312
Epoch 4, Itrs 1790/30000, Loss=0.176739
Epoch 4, Itrs 1800/30000, Loss=0.169602
Epoch 4, Itrs 1810/30000, Loss=0.176416
Epoch 4, Itrs 1820/30000, Loss=0.185738
Epoch 4, Itrs 1830/30000, Loss=0.184227
Epoch 5, Itrs 1840/30000, Loss=0.188809
Epoch 5, Itrs 1850/30000, Loss=0.168711
Epoch 5, Itrs 1860/30000, Loss=0.164714
Epoch 5, Itrs 1870/30000, Loss=0.175049
Epoch 5, Itrs 1880/30000, Loss=0.179152
Epoch 5, Itrs 1890/30000, Loss=0.182418
Epoch 5, Itrs 1900/30000, Loss=0.178925
Epoch 5, Itrs 1910/30000, Loss=0.174431
Epoch 5, Itrs 1920/30000, Loss=0.167221
Epoch 5, Itrs 1930/30000, Loss=0.175774
Epoch 5, Itrs 1940/30000, Loss=0.175939
Epoch 5, Itrs 1950/30000, Loss=0.174534
Epoch 5, Itrs 1960/30000, Loss=0.180635
Epoch 5, Itrs 1970/30000, Loss=0.165452
Epoch 5, Itrs 1980/30000, Loss=0.185530
Epoch 5, Itrs 1990/30000, Loss=0.182182
Epoch 5, Itrs 2000/30000, Loss=0.166160
Model saved as checkpoints/latest_deeplabv3plus_resnet50_map_os16.pth
validation...

Overall Acc: 0.097928
Mean Acc: 0.252855
FreqW Acc: 0.093915
Mean IoU: 0.160110

Model saved as checkpoints/best_deeplabv3plus_resnet50_map_os16.pth
Epoch 5, Itrs 2010/30000, Loss=0.174605
Epoch 5, Itrs 2020/30000, Loss=0.165144
Epoch 5, Itrs 2030/30000, Loss=0.163530
Epoch 5, Itrs 2040/30000, Loss=0.173150
Epoch 5, Itrs 2050/30000, Loss=0.161312
Epoch 5, Itrs 2060/30000, Loss=0.170104
Epoch 5, Itrs 2070/30000, Loss=0.169653
Epoch 5, Itrs 2080/30000, Loss=0.162369
Epoch 5, Itrs 2090/30000, Loss=0.176610
Epoch 5, Itrs 2100/30000, Loss=0.167285
Epoch 5, Itrs 2110/30000, Loss=0.173022
Epoch 5, Itrs 2120/30000, Loss=0.160344
Epoch 5, Itrs 2130/30000, Loss=0.161225
Epoch 5, Itrs 2140/30000, Loss=0.173705
Epoch 5, Itrs 2150/30000, Loss=0.173403
Epoch 5, Itrs 2160/30000, Loss=0.173876
Epoch 5, Itrs 2170/30000, Loss=0.178778
Epoch 5, Itrs 2180/30000, Loss=0.174433
Epoch 5, Itrs 2190/30000, Loss=0.176184
Epoch 5, Itrs 2200/30000, Loss=0.164865
Epoch 5, Itrs 2210/30000, Loss=0.170602
Epoch 5, Itrs 2220/30000, Loss=0.184754
Epoch 5, Itrs 2230/30000, Loss=0.159096
Epoch 5, Itrs 2240/30000, Loss=0.155226
Epoch 5, Itrs 2250/30000, Loss=0.162149
Epoch 5, Itrs 2260/30000, Loss=0.164789
Epoch 5, Itrs 2270/30000, Loss=0.172979
Epoch 5, Itrs 2280/30000, Loss=0.178591
Epoch 5, Itrs 2290/30000, Loss=0.162793
